"","BPS_ID","EVT_ID","freq","acres","GROUPVEG","bps_acres","EVT_PHYS","evt_acres"
"1",11,7292,698299,155298,"BPS  Open Water",155298,"EVT  Open Water",155298
"2",12,7735,681152,151485,"BPS  Perennial Ice/Snow",151485,"EVT  Snow-Ice",151485
"3",31,9001,30840,6859,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",14946
"4",31,9004,1149,256,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",310
"5",31,9006,3,1,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",1
"6",31,9009,16,4,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",4
"7",31,9016,2852434,634367,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",727318
"8",31,9018,875953,194807,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",302817
"9",31,9023,36,8,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",15
"10",31,9024,16721,3719,"BPS  Barren-Rock/Sand/Clay",840018,"EVT  Sparsely Vegetated",13468
"11",383,9001,4,1,"BPS  Sparse",1,"EVT  Sparsely Vegetated",14946
"12",386,7011,18,4,"BPS  Grassland",1040,"EVT  Hardwood",3210078
"13",386,7016,4,1,"BPS  Grassland",1040,"EVT  Conifer",716704
"14",386,7051,5,1,"BPS  Grassland",1040,"EVT  Conifer",1970037
"15",386,7052,1,0,"BPS  Grassland",1040,"EVT  Conifer",1016859
"16",386,7054,742,165,"BPS  Grassland",1040,"EVT  Conifer",5468585
"17",386,7055,3,1,"BPS  Grassland",1040,"EVT  Conifer",5787039
"18",386,7057,5,1,"BPS  Grassland",1040,"EVT  Conifer",238655
"19",386,7059,1058,235,"BPS  Grassland",1040,"EVT  Conifer",1661858
"20",386,7064,4,1,"BPS  Grassland",1040,"EVT  Shrubland",8471
"21",386,7080,14,3,"BPS  Grassland",1040,"EVT  Shrubland",644672
"22",386,7086,341,76,"BPS  Grassland",1040,"EVT  Shrubland",789802
"23",386,7107,303,67,"BPS  Grassland",1040,"EVT  Shrubland",1675366
"24",386,7117,2,0,"BPS  Grassland",1040,"EVT  Conifer",49810
"25",386,7126,54,12,"BPS  Grassland",1040,"EVT  Shrubland",2554093
"26",386,7127,107,24,"BPS  Grassland",1040,"EVT  Shrubland",169356
"27",386,7135,32,7,"BPS  Grassland",1040,"EVT  Grassland",49298
"28",386,7144,1,0,"BPS  Grassland",1040,"EVT  Grassland",434950
"29",386,7145,9,2,"BPS  Grassland",1040,"EVT  Grassland",526335
"30",386,7146,629,140,"BPS  Grassland",1040,"EVT  Grassland",2079040
"31",386,7147,50,11,"BPS  Grassland",1040,"EVT  Grassland",137513
"32",386,7149,73,16,"BPS  Grassland",1040,"EVT  Grassland",38099
"33",386,7153,5,1,"BPS  Grassland",1040,"EVT  Shrubland",6675
"34",386,7295,1,0,"BPS  Grassland",1040,"EVT  Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",17875
"35",386,7296,22,5,"BPS  Grassland",1040,"EVT  Developed-Low Intensity",42604
"36",386,7297,5,1,"BPS  Grassland",1040,"EVT  Developed-Medium Intensity",18147
"37",386,7298,1,0,"BPS  Grassland",1040,"EVT  Developed-High Intensity",4859
"38",386,7299,233,52,"BPS  Grassland",1040,"EVT  Developed-Roads",244543
"39",386,7900,9,2,"BPS  Grassland",1040,"EVT  Developed",25405
"40",386,7901,13,3,"BPS  Grassland",1040,"EVT  Developed",46847
"41",386,7902,2,0,"BPS  Grassland",1040,"EVT  Developed",10964
"42",386,7903,30,7,"BPS  Grassland",1040,"EVT  Developed",21974
"43",386,7904,28,6,"BPS  Grassland",1040,"EVT  Developed",73552
"44",386,7921,17,4,"BPS  Grassland",1040,"EVT  Developed",23998
"45",386,7922,1,0,"BPS  Grassland",1040,"EVT  Developed",2394
"46",386,7923,6,1,"BPS  Grassland",1040,"EVT  Developed",9267
"47",386,7924,7,2,"BPS  Grassland",1040,"EVT  Developed",6006
"48",386,7963,8,2,"BPS  Grassland",1040,"EVT  Agricultural",530
"49",386,7965,262,58,"BPS  Grassland",1040,"EVT  Agricultural",74659
"50",386,7966,139,31,"BPS  Grassland",1040,"EVT  Agricultural",42691
