"","model_label","Model_Code","refLabel","refPercent","BpS_Name","Var1","Var2","Freq","BPS_CODE","ZONE","total_count","currentPercent"
"1","10110_16_23_24_A","10110_16_23_24","A",49,"Rocky Mountain Aspen Forest and Woodland",1009,1,705261,10110,23,2379381,29
"2","10110_16_23_24_B","10110_16_23_24","B",24,"Rocky Mountain Aspen Forest and Woodland",1009,2,28702,10110,23,2379381,1
"3","10110_16_23_24_C","10110_16_23_24","C",6,"Rocky Mountain Aspen Forest and Woodland",1009,3,715393,10110,23,2379381,30
"4","10110_16_23_24_D","10110_16_23_24","D",18,"Rocky Mountain Aspen Forest and Woodland",1009,4,519226,10110,23,2379381,21
"5","10110_16_23_24_E","10110_16_23_24","E",3,"Rocky Mountain Aspen Forest and Woodland",1009,5,317068,10110,23,2379381,13
"6","10110_16_23_24_Agriculture","10110_16_23_24","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1009,180,23027,10110,23,2379381,0
"7","10110_16_23_24_Developed","10110_16_23_24","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1009,120,19475,10110,23,2379381,0
"8","10110_16_23_24_Water","10110_16_23_24","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"9","10110_16_23_24_UN","10110_16_23_24","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"10","10110_16_23_24_UE","10110_16_23_24","UE",0,"Rocky Mountain Aspen Forest and Woodland",1009,7,35478,10110,23,2379381,1
"11","10110_20_29_A","10110_20_29","A",17,"Rocky Mountain Aspen Forest and Woodland",1249,1,14750,10110,29,63923,23
"12","10110_20_29_B","10110_20_29","B",18,"Rocky Mountain Aspen Forest and Woodland",1249,2,15251,10110,29,63923,23
"13","10110_20_29_C","10110_20_29","C",25,"Rocky Mountain Aspen Forest and Woodland",1249,3,3638,10110,29,63923,5
"14","10110_20_29_D","10110_20_29","D",26,"Rocky Mountain Aspen Forest and Woodland",1249,4,23052,10110,29,63923,36
"15","10110_20_29_E","10110_20_29","E",14,"Rocky Mountain Aspen Forest and Woodland",1249,5,6406,10110,29,63923,10
"16","10110_20_29_Agriculture","10110_20_29","Agriculture",0,"Rocky Mountain Aspen Forest and Woodland",1249,180,164,10110,29,63923,0
"17","10110_20_29_Developed","10110_20_29","Developed",0,"Rocky Mountain Aspen Forest and Woodland",1249,120,63,10110,29,63923,0
"18","10110_20_29_Water","10110_20_29","Water",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"19","10110_20_29_UN","10110_20_29","UN",0,"Rocky Mountain Aspen Forest and Woodland",NA,NA,NA,NA,NA,NA,NA
"20","10110_20_29_UE","10110_20_29","UE",0,"Rocky Mountain Aspen Forest and Woodland",1249,7,599,10110,29,63923,0
"21","10110_22_A","10110_22","A",8,"Rocky Mountain Aspen Forest and Woodland",879,1,12555,10110,22,34003,36
