"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",1153,23523440,10550,28,"10550_15_28","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",199,435,NA,137,69,31,NA,"IV-B",211,255,190,0.82745098,1,0.745098039,5231487,14.5
"2",1157,20084507,10610,28,"10610_22_27_28","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland","Hardwood-Conifer",78,73,126,29,37,40,23,"I-C",230,230,0,0.901960784,0.901960784,0,4466687,12.4
"3",1152,11623772,10540,28,"10540_28","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",505,159,24,20,4,13,83,"I-C",168,56,0,0.658823529,0.219607843,0,2585065,7.2
"4",1150,9490928,10510,28,"10510_28","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",325,54,32,19,6,35,59,"I-C",190,210,255,0.745098039,0.823529412,1,2110732,5.9
"5",1149,8374235,10500,28,"10500_16_23_28","Rocky Mountain Lodgepole Pine Forest","Conifer",152,NA,640,123,81,NA,19,"IV-B",128,251,26,0.501960784,0.984313725,0.101960784,1862385,5.2
"6",1147,7681441,10160,28,"10160_15_28","Colorado Plateau Pinyon-Juniper Woodland","Conifer",430,194,2245,126,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,1708311,4.7
"7",1146,6567413,10110,28,"10110_28","Rocky Mountain Aspen Forest and Woodland","Hardwood",145,1732,844,116,79,7,14,"IV-B",255,255,115,1,1,0.450980392,1460557,4.1
"8",1170,6424581,11260,28,"11260_6_12_17_18_28","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,1428792,4
"9",1151,5416063,10520,28,"10520_28","Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland","Conifer",202,144,153,54,27,38,35,"III-A",115,149,230,0.450980392,0.584313725,0.901960784,1204503,3.3
"10",1178,4318306,11590,28,"11590_28","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,960368,2.7
"11",1176,3937739,11460,28,"11460_15_16_23_24_25_28","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,NA,21,10,52,NA,48,"I-B",167,205,178,0.654901961,0.803921569,0.698039216,875732,2.4
"12",31,3777152,31,NA,NA,"Barren-Rock/Sand/Clay","Barren-Rock/Sand/Clay",NA,NA,NA,NA,NA,NA,NA,NA,191,191,191,0.749019608,0.749019608,0.749019608,840018,2.3
"13",1161,3677140,10801,28,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,NA,NA,72,100,NA,NA,"IV-A",255,190,232,1,0.745098039,0.909803922,817776,2.3
"14",1033,3301669,11070,23,"11070_23_24","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",51,150,NA,38,74,26,NA,"III-A",115,255,223,0.450980392,1,0.874509804,734274,2
"15",1165,3220811,11070,28,"11070_25_28","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,171,NA,39,77,23,NA,"III-A",115,255,223,0.450980392,1,0.874509804,716291,2
"16",1266,2545166,11260,29,"11260_20_29_33","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,566031,1.6
"17",1009,2379381,10110,23,"10110_16_23_24","Rocky Mountain Aspen Forest and Woodland","Hardwood",59,50,NA,27,46,54,NA,"I-C",255,255,115,1,1,0.450980392,529162,1.5
"18",1269,2468291,11410,29,"11410_29_30","Northwestern Great Plains Mixedgrass Prairie","Grassland",13,NA,NA,13,100,NA,NA,"II-B",215,255,232,0.843137255,1,0.909803922,548935,1.5
"19",1179,2094739,11600,28,"11600_15_28","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",273,NA,80,62,23,NA,77,"III-A",49,165,167,0.192156863,0.647058824,0.654901961,465859,1.3
"20",1173,1623377,11430,28,"11430_9_19_21_28","Rocky Mountain Alpine Fell-Field","Grassland",525,NA,NA,525,100,NA,NA,"V-B",130,130,130,0.509803922,0.509803922,0.509803922,361030,1
"21",1015,1422966,10540,23,"10540_16_23_24","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",280,226,20,17,6,8,86,"I-C",168,56,0,0.658823529,0.219607843,0,316460,0.9
"22",1167,1401182,11170,28,"11170_13_15_28","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",368,NA,11,11,3,NA,97,"I-B",255,85,0,1,0.333333333,0,311615,0.9
"23",1265,1514406,11250,29,"11250_20_29_30_31_33","Inter-Mountain Basins Big Sagebrush Steppe","Shrubland",92,NA,NA,92,100,NA,NA,"IV-A",255,115,223,1,0.450980392,0.874509804,336796,0.9
"24",898,1230498,11260,22,"11260_22","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",86,NA,NA,86,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,273656,0.8
"25",1028,1289223,10860,23,"10860_13_16_17_18_21_23","Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",102,28,NA,22,21,79,NA,"I-C",137,68,101,0.537254902,0.266666667,0.396078431,286716,0.8
"26",1163,1075019,10860,28,"10860_28","Rocky Mountain Lower Montane-Foothill Shrubland","Shrubland",73,210,NA,54,74,26,NA,"III-A",137,68,101,0.537254902,0.266666667,0.396078431,239078,0.7
"27",1171,1130548,11270,28,"11270_28","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,251428,0.7
"28",1253,1089085,10540,29,"10540_29","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",303,265,20,18,6,7,87,"I-C",168,56,0,0.658823529,0.219607843,0,242207,0.7
"29",1480,1104275,10590,27,"10590_27_33","Southern Rocky Mountain Pinyon-Juniper Woodland","Conifer",327,406,566,137,42,34,24,"III-B",183,138,46,0.717647059,0.541176471,0.180392157,245585,0.7
"30",892,736731,10802,22,"10802_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Wyoming Big Sagebrush","Shrubland",98,NA,NA,98,100,NA,NA,"IV-A",255,163,180,1,0.639215686,0.705882353,163845,0.5
"31",1037,799339,11261,23,"11261_16_23_24","Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,177769,0.5
"32",1174,766795,11440,28,"11440_12_16_19_28","Rocky Mountain Alpine Turf","Grassland",207,NA,NA,207,100,NA,NA,"V-A",93,43,29,0.364705882,0.168627451,0.11372549,170531,0.5
"33",11,698299,11,NA,NA,"Open Water","Open Water",NA,NA,NA,NA,NA,NA,NA,NA,0,0,255,0,0,1,155298,0.4
"34",12,681152,12,NA,NA,"Perennial Ice/Snow","Perennial Ice/Snow",NA,NA,NA,NA,NA,NA,NA,NA,159,161,240,0.623529412,0.631372549,0.941176471,151485,0.4
"35",1010,654349,10160,23,"10160_16_23_24_25","Colorado Plateau Pinyon-Juniper Woodland","Conifer",435,195,2265,127,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,145524,0.4
"36",1013,671758,10510,23,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098039,0.823529412,1,149395,0.4
"37",1154,679125,10560,28,"10560_15_28","Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland","Conifer",199,435,NA,137,69,31,NA,"IV-B",56,168,0,0.219607843,0.658823529,0,151034,0.4
"38",1019,480703,10611,23,"10611_16_23_24","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-Low Elevation","Hardwood-Conifer",43,13,NA,10,24,76,NA,"I-B",230,230,0,0.901960784,0.901960784,0,106906,0.3
"39",1020,477765,10612,23,"10612_16_23","Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland-High Elevation","Hardwood-Conifer",70,60,NA,32,46,54,NA,"I-C",200,230,0,0.784313725,0.901960784,0,106252,0.3
"40",1043,557670,11590,23,"11590_16_23_24_26","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,124023,0.3
"41",1144,429644,10010,28,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,95551,0.3
"42",1177,443655,11530,28,"11530_28","Inter-Mountain Basins Greasewood Flat","Shrubland",204,NA,NA,204,100,NA,NA,"V-A",225,225,225,0.882352941,0.882352941,0.882352941,98666,0.3
"43",1254,436921,10550,29,"10550_29","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",113,NA,NA,113,100,NA,NA,"IV-B",211,255,190,0.82745098,1,0.745098039,97169,0.3
"44",1364,424868,11190,25,"11190_24_25","Southern Rocky Mountain Juniper Woodland and Savanna","Conifer",503,217,32,26,5,12,83,"I-C",135,86,20,0.529411765,0.337254902,0.078431373,94488,0.3
"45",1488,415080,11070,27,"11070_27_33","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",115,255,223,0.450980392,1,0.874509804,92312,0.3
