"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","VALUE","ACRES","REL_PERCENT","annual_dist_acres"
"1","All Fire","10110_16_23_24",0.0374446,"Rocky Mountain Aspen Forest and Woodland",1009,529162,1.5,19814.2594252
"2","All Fire","10110_20_29",0.0098114,"Rocky Mountain Aspen Forest and Woodland",1249,14216,0,139.4788624
"3","All Fire","10110_22",0.0060602,"Rocky Mountain Aspen Forest and Woodland",879,7562,0,45.8272324
"4","All Fire","10110_27",0.0087446,"Rocky Mountain Aspen Forest and Woodland",1472,607,0,5.3079722
"5","All Fire","10110_28",0.0084652,"Rocky Mountain Aspen Forest and Woodland",1146,1460557,4.1,12363.9071164
"6","All Fire","10120_16_27",0.019869,"Rocky Mountain Bigtooth Maple Ravine Woodland",1473,12,0,0.238428
"7","All Fire","10160_15_28",0.0080608,"Colorado Plateau Pinyon-Juniper Woodland",1147,1708311,4.7,13770.3533088
"8","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1010,145524,0.4,1142.7126576
"9","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1339,22034,0.1,173.0197816
"10","All Fire","10160_16_23_24_25",0.0078524,"Colorado Plateau Pinyon-Juniper Woodland",1114,1220,0,9.579928
"11","All Fire","10160_22",0.007225,"Colorado Plateau Pinyon-Juniper Woodland",880,41,0,0.296225
"12","All Fire","10230_14_15_24_25",0.0431672,"Madrean Encinal",1340,37852,0.1,1633.9648544
"13","All Fire","10240_25_27",0.1414966,"Madrean Lower Montane Pine-Oak Forest and Woodland",1341,32,0,4.5278912
"14","All Fire","10250_14_15_24_25_26",0.0215966,"Madrean Pinyon-Juniper Woodland",1342,3,0,0.0647898
"15","All Fire","10480_29",0.0340978,"Northwestern Great Plains Highland White Spruce Woodland",1250,312,0,10.6385136
"16","All Fire","10490_16_22",0.004791,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",881,12539,0,60.074349
"17","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1251,28554,0.1,72.1159824
"18","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1011,582,0,1.4698992
"19","All Fire","10490_19_20_21_23_28_29",0.0025256,"Rocky Mountain Foothill Limber Pine-Juniper Woodland",1148,7799,0,19.6971544
"20","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",1149,1862385,5.2,15095.002902
"21","All Fire","10500_16_23_28",0.0081052,"Rocky Mountain Lodgepole Pine Forest",1012,2470,0,20.019844
"22","All Fire","10500_22",0.005998,"Rocky Mountain Lodgepole Pine Forest",882,226,0,1.355548
"23","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1013,149395,0.4,13967.506251
"24","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",883,1286,0,120.2330268
"25","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1118,8,0,0.7479504
"26","All Fire","10510_15_16_17_22_23_24_25",0.0934938,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1343,2636,0,246.4496568
"27","All Fire","10510_27",0.0515368,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1475,9074,0,467.6449232
"28","All Fire","10510_28",0.0538472,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1150,2110732,5.9,113657.0081504
"29","All Fire","10510_29",0.0961674,"Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland",1252,55531,0.2,5340.2718894
"30","All Fire","10520_16_23_24",0.0301954,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1014,16733,0,505.2596282
"31","All Fire","10520_25",0.0306988,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1344,7,0,0.2148916
"32","All Fire","10520_27",0.0270752,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1476,667,0,18.0591584
"33","All Fire","10520_28",0.0184546,"Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland",1151,1204503,3.3,22228.6210638
"34","All Fire","10540_15_25",0.1084062,"Southern Rocky Mountain Ponderosa Pine Woodland",1345,70090,0.2,7598.190558
"35","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",1015,316460,0.9,18576.075416
"36","All Fire","10540_16_23_24",0.0586996,"Southern Rocky Mountain Ponderosa Pine Woodland",1120,606,0,35.5719576
"37","All Fire","10540_22",0.0789302,"Southern Rocky Mountain Ponderosa Pine Woodland",884,5991,0,472.8708282
"38","All Fire","10540_28",0.0496688,"Southern Rocky Mountain Ponderosa Pine Woodland",1152,2585065,7.2,128397.076472
"39","All Fire","10540_29",0.0568408,"Southern Rocky Mountain Ponderosa Pine Woodland",1253,242207,0.7,13767.2396456
"40","All Fire","10540_33",0.0411662,"Southern Rocky Mountain Ponderosa Pine Woodland",1405,13159,0,541.7060258
"41","All Fire","10541_27",0.091643,"Southern Rocky Mountain Ponderosa Pine Woodland - South",1477,84453,0.2,7739.526279
"42","All Fire","10542_27",0.0403046,"Southern Rocky Mountain Ponderosa Pine Woodland - North",1478,22814,0.1,919.5091444
"43","All Fire","10550_15_28",0.0072968,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1153,5231487,14.5,38173.1143416
"44","All Fire","10550_16_23_24",0.0048182,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1016,32837,0.1,158.2152334
"45","All Fire","10550_21_22",0.0030068,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",885,310,0,0.932108
"46","All Fire","10550_27",0.0071682,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1479,18,0,0.1290276
"47","All Fire","10550_29",0.0087036,"Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland",1254,97169,0.3,845.7201084
"48","All Fire","10560_15_28",0.0072868,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1154,151034,0.4,1100.5545512
"49","All Fire","10560_16_23",0.0048518,"Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland",1017,970,0,4.706246
"50","All Fire","10570_23",0.0071192,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1018,538,0,3.8301296
"51","All Fire","10570_28",0.0068034,"Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland",1155,89507,0.2,608.9519238
