"","VALUE","Freq","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"1",11,698299,"Open Water",0,0,255,0,0,1,155298,0.4
"2",12,681152,"Snow/Ice",159,161,240,0.623529,0.631373,0.941176,151485,0.4
"3",13,114685,"Developed-Upland Deciduous Forest",64,61,168,0.25098,0.239216,0.658824,25505,0.1
"4",14,214423,"Developed-Upland Evergreen Forest",68,79,137,0.266667,0.309804,0.537255,47687,0.1
"5",15,49383,"Developed-Upland Mixed Forest",102,119,205,0.4,0.466667,0.803922,10983,0
"6",16,99243,"Developed-Upland Herbaceous",122,142,245,0.478431,0.556863,0.960784,22071,0.1
"7",17,339336,"Developed-Upland Shrubland",158,170,215,0.619608,0.666667,0.843137,75467,0.2
"8",22,191571,"Developed - Low Intensity",255,122,143,1,0.478431,0.560784,42604,0.1
"9",23,81600,"Developed - Medium Intensity",253,44,79,0.992157,0.172549,0.309804,18147,0.1
"10",24,21847,"Developed - High Intensity",173,0,28,0.678431,0,0.109804,4859,0
"11",25,1099589,"Developed-Roads",1,1,1,0.003921,0.003921,0.003921,244543,0.7
"12",31,3777152,"Barren",191,191,191,0.74902,0.74902,0.74902,840018,2.3
"13",32,80374,"Quarries-Strip Mines-Gravel Pits-Well and Wind Pads",230,232,250,0.901961,0.909804,0.980392,17875,0
"14",61,12,"NASS-Vineyard",168,0,132,0.658824,0,0.517647,3,0
"15",63,2384,"NASS-Row Crop-Close Grown Crop",255,245,140,1,0.960784,0.54902,530,0
"16",64,9424,"NASS-Row Crop",250,255,119,0.980392,1,0.466667,2096,0
"17",65,337471,"NASS-Close Grown Crop",255,237,119,1,0.929412,0.466667,75052,0.2
"18",68,5541,"NASS-Wheat",250,227,163,0.980392,0.890196,0.639216,1232,0
"19",100,984112,"Sparse Vegetation Canopy",122,127,117,0.478431,0.498039,0.458824,218861,0.6
"20",101,2066951,"Tree Height = 1 meter",204,255,153,0.8,1,0.6,459679,1.3
"21",102,2195002,"Tree Height = 2 meters",199,250,147,0.780392,0.980392,0.576471,488157,1.4
"22",103,2902168,"Tree Height = 3 meters",192,245,142,0.752941,0.960784,0.556863,645427,1.8
"23",104,2540344,"Tree Height = 4 meters",188,242,138,0.737255,0.94902,0.541176,564959,1.6
"24",105,2572098,"Tree Height = 5 meters",181,237,133,0.709804,0.929412,0.521569,572021,1.6
"25",106,2660762,"Tree Height = 6 meters",178,235,129,0.698039,0.921569,0.505882,591739,1.6
"26",107,2669776,"Tree Height = 7 meters",171,230,124,0.670588,0.901961,0.486275,593744,1.6
"27",108,4466475,"Tree Height = 8 meters",168,227,120,0.658824,0.890196,0.470588,993320,2.8
"28",109,3381998,"Tree Height = 9 meters",160,222,113,0.627451,0.870588,0.443137,752138,2.1
"29",110,4215706,"Tree Height = 10 meters",155,219,110,0.607843,0.858824,0.431373,937550,2.6
"30",111,4964565,"Tree Height = 11 meters",150,214,105,0.588235,0.839216,0.411765,1104093,3.1
"31",112,5908802,"Tree Height = 12 meters",146,212,102,0.572549,0.831373,0.4,1314086,3.6
"32",113,6830541,"Tree Height = 13 meters",141,207,97,0.552941,0.811765,0.380392,1519076,4.2
"33",114,8681337,"Tree Height = 14 meters",136,204,94,0.533333,0.8,0.368627,1930683,5.4
"34",115,8597580,"Tree Height = 15 meters",131,199,90,0.513725,0.780392,0.352941,1912056,5.3
"35",116,8284615,"Tree Height = 16 meters",127,196,86,0.498039,0.768627,0.337255,1842454,5.1
"36",117,6728440,"Tree Height = 17 meters",119,191,80,0.466667,0.74902,0.313725,1496369,4.2
"37",118,14445272,"Tree Height = 18 meters",116,189,77,0.454902,0.741176,0.301961,3212551,8.9
"38",119,2925122,"Tree Height = 19 meters",110,184,73,0.431373,0.721569,0.286275,650531,1.8
"39",120,1752300,"Tree Height = 20 meters",107,181,71,0.419608,0.709804,0.278431,389702,1.1
"40",121,1260106,"Tree Height = 21 meters",101,176,67,0.396078,0.690196,0.262745,280241,0.8
"41",122,378080,"Tree Height = 22 meters",99,173,64,0.388235,0.678431,0.25098,84083,0.2
"42",123,247142,"Tree Height = 23 meters",93,168,61,0.364706,0.658824,0.239216,54963,0.2
"43",124,186100,"Tree Height = 24 meters",87,166,56,0.341176,0.65098,0.219608,41388,0.1
"44",125,555277,"Tree Height = 25 meters",84,161,53,0.329412,0.631373,0.207843,123491,0.3
"45",138,1517,"Tree Height = 38 meters",36,112,21,0.141176,0.439216,0.082353,337,0
"46",201,5175,"Shrub Height = 0.1 meter",212,178,125,0.831373,0.698039,0.490196,1151,0
"47",202,490377,"Shrub Height = 0.2 meter",212,174,121,0.831373,0.682353,0.47451,109057,0.3
"48",203,1792885,"Shrub Height = 0.3 meter",209,166,117,0.819608,0.65098,0.458824,398728,1.1
"49",204,3996505,"Shrub Height = 0.4 meter",209,161,113,0.819608,0.631373,0.443137,888801,2.5
"50",205,3093621,"Shrub Height = 0.5 meter",207,155,109,0.811765,0.607843,0.427451,688005,1.9
"51",206,2662283,"Shrub Height = 0.6 meter",207,149,105,0.811765,0.584314,0.411765,592077,1.6
"52",207,1849317,"Shrub Height = 0.7 meter",204,145,102,0.8,0.568627,0.4,411278,1.1
"53",208,2329211,"Shrub Height = 0.8 meter",201,137,97,0.788235,0.537255,0.380392,518004,1.4
"54",209,1400936,"Shrub Height = 0.9 meter",201,134,95,0.788235,0.52549,0.372549,311561,0.9
"55",210,891457,"Shrub Height = 1 meter",199,126,90,0.780392,0.494118,0.352941,198255,0.6
"56",211,1614831,"Shrub Height = 1.1 meters",196,121,86,0.768627,0.47451,0.337255,359130,1
"57",212,1190178,"Shrub Height = 1.2 meters",196,115,82,0.768627,0.45098,0.321569,264689,0.7
"58",213,885950,"Shrub Height = 1.3 meters",194,110,79,0.760784,0.431373,0.309804,197031,0.5
"59",214,636613,"Shrub Height = 1.4 meters",191,105,77,0.74902,0.411765,0.301961,141579,0.4
"60",215,488426,"Shrub Height = 1.5 meters",191,100,73,0.74902,0.392157,0.286275,108623,0.3
"61",216,784157,"Shrub Height = 1.6 meters",189,94,70,0.741176,0.368627,0.27451,174392,0.5
"62",217,426718,"Shrub Height = 1.7 meters",186,89,67,0.729412,0.34902,0.262745,94900,0.3
"63",218,552397,"Shrub Height = 1.8 meters",184,83,62,0.721569,0.32549,0.243137,122850,0.3
"64",219,465489,"Shrub Height = 1.9 meters",184,79,61,0.721569,0.309804,0.239216,103522,0.3
"65",220,578504,"Shrub Height = 2.0 meters",181,72,58,0.709804,0.282353,0.227451,128656,0.4
"66",221,455428,"Shrub Height = 2.1 meters",179,68,55,0.701961,0.266667,0.215686,101285,0.3
"67",222,474711,"Shrub Height = 2.2 meters",176,61,51,0.690196,0.239216,0.2,105573,0.3
"68",223,337349,"Shrub Height = 2.3 meters",173,57,49,0.678431,0.223529,0.192157,75025,0.2
"69",224,317384,"Shrub Height = 2.4 meters",173,51,47,0.678431,0.2,0.184314,70585,0.2
"70",225,144485,"Shrub Height = 2.5 meters",171,47,44,0.670588,0.184314,0.172549,32133,0.1
"71",226,77948,"Shrub Height = 2.6 meters",168,39,41,0.658824,0.152941,0.160784,17335,0
"72",227,29071,"Shrub Height = 2.7 meters",166,33,40,0.65098,0.129412,0.156863,6465,0
"73",228,31148,"Shrub Height = 2.8 meters",163,26,38,0.639216,0.101961,0.14902,6927,0
"74",229,11811,"Shrub Height = 2.9 meters",161,18,34,0.631373,0.070588,0.133333,2627,0
"75",230,117505,"Shrub Height >= 3.0 meters",158,0,32,0.619608,0,0.12549,26132,0.1
"76",301,442710,"Herb Height = 0.1 meter",255,204,102,1,0.8,0.4,98456,0.3
"77",302,12415748,"Herb Height = 0.2 meter",255,186,89,1,0.729412,0.34902,2761196,7.7
"78",303,9009834,"Herb Height = 0.3 meter",255,169,77,1,0.662745,0.301961,2003739,5.6
"79",304,1669968,"Herb Height = 0.4 meter",255,150,64,1,0.588235,0.25098,371392,1
"80",305,61692,"Herb Height = 0.5 meter",255,133,51,1,0.521569,0.2,13720,0
"81",306,48634,"Herb Height = 0.6 meter",255,112,41,1,0.439216,0.160784,10816,0
"82",307,21,"Herb Height = 0.7 meter",255,92,28,1,0.360784,0.109804,5,0
"83",308,25336,"Herb Height = 0.8 meter",255,73,18,1,0.286275,0.070588,5635,0
"84",309,1,"Herb Height = 0.9 meter",255,51,0,1,0.2,0,0,0
